"id","name","name@es","name@ca","code","account_type","reconcile"
"account_pymes_canary_100","Capital social","Capital social","Capital social","100","liability_non_current","False"
"account_pymes_canary_1030","Socios por desembolsos no exigidos, capital social","Socios por desembolsos no exigidos, capital social","Socios por desembolsos no exigidos, capital social","1030","liability_non_current","False"
"account_pymes_canary_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","liability_non_current","False"
"account_pymes_canary_1040","Socios por aportaciones no dinerarias pendientes, capital social","Socios por aportaciones no dinerarias pendientes, capital social","Socios por aportaciones no dinerarias pendientes, capital social","1040","liability_non_current","False"
"account_pymes_canary_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","liability_non_current","False"

"account_pymes_112","Legal reserve","Reserva legal","Reserva legal","112","equity","False"
"account_pymes_113","Voluntary reserves","Reservas voluntarias","Reserves voluntàries","113","equity","False"

"account_pymes_canary_120","Remanente","Remanente","Remanente","120","liability_non_current","False"
"account_pymes_canary_121","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","121","liability_non_current","False"
"account_pymes_canary_129","Resultado del ejercicio","Resultado del ejercicio","Resultado del ejercicio","129","equity_unaffected","False"
"account_pymes_canary_130","Subvenciones oficiales de capital","Subvenciones oficiales de capital","Subvenciones oficiales de capital","130","liability_non_current","False"
"account_pymes_canary_132","Otras subvenciones, donaciones y legados","Otras subvenciones, donaciones y legados","Otras subvenciones, donaciones y legados","132","liability_non_current","False"

"account_pymes_150","Non-current liability-classified shares or equity holdings","Acciones o participaciones consideradas como pasivos financieros","Accions o participacions a llarg termini considerades passius financers","150","liability_non_current","False"
"account_pymes_171","Non-current payables","Deudas","Deutes a llarg termini","171","liability_non_current","False"

"account_pymes_canary_2403","Participaciones en empresas del grupo","Participaciones en empresas del grupo","Participaciones en empresas del grupo","2403","asset_fixed","False"
"account_pymes_canary_2404","Participaciones en empresas asociadas","Participaciones en empresas asociadas","Participaciones en empresas asociadas","2404","asset_fixed","False"
"account_pymes_canary_2405","Participaciones en otras partes vinculadas","Participaciones en otras partes vinculadas","Participaciones en otras partes vinculadas","2405","asset_fixed","False"
"account_pymes_canary_2493","Desembolsos pendientes sobre participaciones en empresas del grupo","Desembolsos pendientes sobre participaciones en empresas del grupo","Desembolsos pendientes sobre participaciones en empresas del grupo","2493","asset_fixed","False"
"account_pymes_canary_2494","Desembolsos pendientes sobre participaciones en empresas asociadas","Desembolsos pendientes sobre participaciones en empresas asociadas","Desembolsos pendientes sobre participaciones en empresas asociadas","2494","asset_fixed","False"
"account_pymes_canary_2495","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desembolsos pendientes sobre participaciones en otras partes vinculadas","2495","asset_fixed","False"
"account_pymes_canary_255","Activos por derivados financieros","Activos por derivados financieros","Activos por derivados financieros","255","asset_fixed","False"
"account_pymes_canary_2935","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","2935","asset_fixed","False"
"account_pymes_canary_296","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","296","asset_fixed","False"

"account_common_canary_4707","Hacienda Pública, deudora por IGIC","Hacienda Pública, deudora por IGIC","Hacienda Pública, deudora por IGIC",4707,"asset_current","False"
"account_pymes_canary_47071","Hacienda Pública, deudora por IGIC régimen transitorio circulante","Hacienda Pública, deudora por IGIC régimen transitorio circulante","Hacienda Pública, deudora por IGIC régimen transitorio circulante",47071,"asset_current","False"
"account_pymes_canary_47072","Hacienda Pública, deudora por IGIC régimen transitorio inversión","Hacienda Pública, deudora por IGIC régimen transitorio inversión","Hacienda Pública, deudora por IGIC régimen transitorio inversión",47072,"asset_current","False"
"account_common_canary_4727","Hacienda Pública. IGIC Soportado","Hacienda Pública. IGIC Soportado","Hacienda Pública. IGIC Soportado",4727,"asset_current","False"
"account_common_canary_4757","Hacienda Pública, acreedora por IGIC","Hacienda Pública, acreedora por IGIC","Hacienda Pública, acreedora por IGIC",4757,"asset_current","False"
"account_common_canary_4777","Hacienda Pública. IGIC Repercutido","Hacienda Pública. IGIC Repercutido","Hacienda Pública. IGIC Repercutido",4777,"liability_current","False"
"account_pymes_canary_490","Deterioro de valor de créditos por operaciones comerciales","Deterioro de valor de créditos por operaciones comerciales","Deterioro de valor de créditos por operaciones comerciales",490,"liability_current","False"

"account_pymes_502","Current liability-classified shares or equity holdings","Acciones o participaciones a corto plazo consideradas como pasivos financieros","Accions o participacions a curt termini considerades passius financers","502","liability_current","False"
"account_pymes_521","Current payables","Deudas a corto plazo","Deutes a curt termini","521","liability_current","False"
"account_pymes_526","Dividend payable","Dividendo activo a pagar","Dividend actiu a pagar","526","liability_payable","True"

"account_pymes_canary_551","Cuenta corriente con socios y administradores","Cuenta corriente con socios y administradores","Cuenta corriente con socios y administradores",551,"asset_current","False"

"account_pymes_5585","Receivable on called-up liability-classified shares or equity holdings","Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros","Socis per desemborsaments exigits sobre accions o participacions considerades passius financers","5585","liability_current","False"

"account_pymes_canary_5935","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas",5935,"asset_current","False"
"account_pymes_canary_596","Deterioro de valor de participaciones a corto plazo","Deterioro de valor de participaciones a corto plazo","Deterioro de valor de participaciones a corto plazo",596,"asset_current","False"

"account_pymes_canary_6343","Ajustes negativos en IGIC de circulante","Ajustes negativos en IGIC de circulante","Ajustes negativos en IGIC de circulante",6343,"expense","False"
"account_pymes_canary_6344","Ajustes negativos en IGIC de inversión","Ajustes negativos en IGIC de inversión","Ajustes negativos en IGIC de inversión",6344,"expense","False"
"account_pymes_canary_6393","Ajustes positivos en IGIC de circulante","Ajustes positivos en IGIC de circulante","Ajustes positivos en IGIC de circulante",6393,"expense","False"
"account_pymes_canary_6394","Ajustes positivos en IGIC de inversión","Ajustes positivos en IGIC de inversión","Ajustes positivos en IGIC de inversión",6394,"expense","False"

"account_pymes_canary_650","Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables",650,"expense","False"
"account_pymes_canary_6510","Beneficio transferido (gestor)","Beneficio transferido (gestor)","Beneficio transferido (gestor)",6510,"expense","False"
"account_pymes_canary_6511","Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)",6511,"expense","False"
"account_pymes_canary_659","Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente",659,"expense","False"
"account_pymes_canary_663","Pérdidas por valoración de instrumentos financieros por su valor razonable","Pérdidas por valoración de instrumentos financieros por su valor razonable","Pérdidas por valoración de instrumentos financieros por su valor razonable",663,"expense","False"
"account_pymes_canary_671","Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material",671,"expense","False"
"account_pymes_canary_691","Pérdidas por deterioro del inmovilizado material","Pérdidas por deterioro del inmovilizado material","Pérdidas por deterioro del inmovilizado material",691,"expense","False"
"account_pymes_canary_694","Pérdidas por deterioro de créditos por operaciones comerciales","Pérdidas por deterioro de créditos por operaciones comerciales","Pérdidas por deterioro de créditos por operaciones comerciales",694,"expense","False"
"account_pymes_canary_763","Beneficios por valoración de instrumentos financieros por su valor razonable","Beneficios por valoración de instrumentos financieros por su valor razonable","Beneficios por valoración de instrumentos financieros por su valor razonable",763,"income","False"
"account_pymes_canary_791","Reversión del deterioro del inmovilizado material","Reversión del deterioro del inmovilizado material","Reversión del deterioro del inmovilizado material",791,"income","False"
"account_pymes_canary_794","Reversión del deterioro de créditos por operaciones comerciales","Reversión del deterioro de créditos por operaciones comerciales","Reversión del deterioro de créditos por operaciones comerciales",794,"income","False"
"account_pymes_canary_7962","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas",7962,"income","False"
"account_pymes_canary_7963","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas",7963,"income","False"
