"id","sequence","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids"

"account_tax_template_s_igic0b","0","IGIC 0% (Bienes)","IGIC 0%","sale","0% G Can","IGIC 0% (Bienes)","IGIC 0% (béns)","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic0_bc","0","IGIC 0% (Bienes)","IGIC 0%","purchase","0% G INC Can","0% IGIC soportado (bienes corrientes)","0% IGIC (béns corrents)","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic3b","0","IGIC 3% (Bienes)","IGIC 3%","sale","3% G Can","IGIC 3% (Bienes)","IGIC 3% (béns)","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic3_bc","0","IGIC 3% (Bienes)","IGIC 3%","purchase","3% G INC Can","3% IGIC soportado (bienes corrientes)","3% IGIC (béns corrents)","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic7b","0","IGIC 7% (Bienes)","IGIC 7%","sale","7% G Can","IGIC 7% (Bienes)","IGIC 7% (béns)","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic7_bc","0","IGIC 7% (Bienes)","IGIC 7%","purchase","7% G INC Can","7% IGIC soportado (bienes corrientes)","7% IGIC (béns corrents)","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic95b","0","IGIC 9,5% (Bienes)","IGIC 9,5%","sale","9,5% G Can","IGIC 9,5% (Bienes)","IGIC 9,5% (béns)","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic95_bc","0","IGIC 9,5% (Bienes)","IGIC 9,5%","purchase","9,5% G INC Can","9,5% IGIC soportado (bienes corrientes)","9,5% IGIC (béns corrents)","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic15b","0","IGIC 15% (Bienes)","IGIC 15%","sale","15% G Can","IGIC 15% (Bienes)","IGIC 15% (béns)","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic15_bc","0","IGIC 15% (Bienes)","IGIC 15%","purchase","15% G INC Can","15% IGIC soportado (bienes corrientes)","15% IGIC (béns corrents)","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic20b","0","IGIC 20% (Bienes)","IGIC 20%","sale","20% G Can","IGIC 20% (Bienes)","IGIC 20% (béns)","20.0","percent","tax_group_igic_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic20_bc","0","IGIC 20% (Bienes)","IGIC 20%","purchase","20% G INC Can","20% IGIC soportado (bienes corrientes)","20% IGIC (béns corrents)","20.0","percent","tax_group_igic_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP0b","0","IGIC 0% Venta con Inversión del Sujeto Pasivo","IGIC 0% ISP","sale","0% G ISP Can","IGIC 0% Venta con Inversión del Sujeto Pasivo","IGIC 0% Venta con Inversión del Sujeto Pasivo","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP0bc","0","IGIC 0% Compra con Inversión del Sujeto Pasivo","IGIC 0% ISP","purchase","0% G INC ISP Can","0% IGIC Soportado Compra con Inversión del Sujeto Pasivo","0% IGIC Soportado Compra con Inversión del Sujeto Pasivo","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP3b","0","IGIC 3% Venta con Inversión del Sujeto Pasivo","IGIC 3% ISP","sale","3% G ISP Can","IGIC 3% Venta con Inversión del Sujeto Pasivo","IGIC 3% Venta con Inversión del Sujeto Pasivo","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP3bc","0","IGIC 3% Compra con Inversión del Sujeto Pasivo","IGIC 3% ISP","purchase","3% G INC ISP Can","3% IGIC Soportado Compra con Inversión del Sujeto Pasivo","3% IGIC Soportado Compra con Inversión del Sujeto Pasivo","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP7b","0","IGIC 7% Venta con Inversión del Sujeto Pasivo","IGIC 7% ISP","sale","7% G ISP Can","IGIC 7% Venta con Inversión del Sujeto Pasivo","IGIC 7% Venta con Inversión del Sujeto Pasivo","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP7bc","0","IGIC 7% Compra con Inversión del Sujeto Pasivo","IGIC 7% ISP","purchase","7% G INC ISP Can","7% IGIC Soportado Compra con Inversión del Sujeto Pasivo","7% IGIC Soportado Compra con Inversión del Sujeto Pasivo","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP95b","0","IGIC 9,5% Venta con Inversión del Sujeto Pasivo","IGIC 9,5% ISP","sale","9,5% G ISP Can","IGIC 9,5% Venta con Inversión del Sujeto Pasivo","IGIC 9,5% Venta con Inversión del Sujeto Pasivo","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP95bc","0","IGIC 9,5% Compra con Inversión del Sujeto Pasivo","IGIC 9,5% ISP","purchase","9,5% G INC ISP Can","9,5% IGIC Soportado Compra con Inversión del Sujeto Pasivo","9,5% IGIC Soportado Compra con Inversión del Sujeto Pasivo","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP15b","0","IGIC 15% Venta con Inversión del Sujeto Pasivo","IGIC 15% ISP","sale","15% G ISP Can","IGIC 15% Venta con Inversión del Sujeto Pasivo","IGIC 15% Venta con Inversión del Sujeto Pasivo","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP15bc","0","IGIC 15% Compra con Inversión del Sujeto Pasivo","IGIC 15% ISP","purchase","15% G INC ISP Can","15% IGIC Soportado Compra con Inversión del Sujeto Pasivo","15% IGIC Soportado Compra con Inversión del Sujeto Pasivo","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ISP20b","0","IGIC 20% Venta con Inversión del Sujeto Pasivo","IGIC 20% ISP","sale","20% G ISP Can","IGIC 20% Venta con Inversión del Sujeto Pasivo","IGIC 20% Venta con Inversión del Sujeto Pasivo","20.0","percent","tax_group_igic_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ISP20bc","0","IGIC 20% Compra con Inversión del Sujeto Pasivo","IGIC 20% ISP","purchase","20% G INC ISP Can","20% IGIC Soportado Compra con Inversión del Sujeto Pasivo","20% IGIC Soportado Compra con Inversión del Sujeto Pasivo","20.0","percent","tax_group_igic_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_ex0b","0","IGIC 0% (Exportaciones)","IGIC 0% Export","sale","0% G Exp Can","IGIC 0% (Exportaciones)","IGIC 0% (Exportaciones)","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""

"account_tax_template_s_igic_ex_b","0","IGIC Exento Repercutido","IGIC Exento","sale","0% G Exento Can","IGIC Exento","IGIC Exento","0.0","percent","tax_group_igic_ex","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_ex_bc","0","IGIC Exento Soportado","IGIC Exento","purchase","0% G INC Exento Can","IGIC Exento","IGIC Exento","0.0","percent","tax_group_igic_ex","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic_cmino_b","0","Exento por Comercio minorista","Exento Com.Minorista","sale","0% G Ex.CMino Can","Exento por Comercio minorista","Exento por Comercio minorista","0.0","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic_cmino_bc","0","Exento por Comercio minorista","Exento Com.Minorista","purchase","0% G INC Ex.CMino Can","Exento por Comercio minorista","Exento por Comercio minorista","0.0","percent","tax_group_igic_ex","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic3_cmino_b","0","IGIC 3% Repercutido (Comercio Minorista)","IGIC 3% Com.Minorista","sale","3% G CMino Can","IGIC 3% (Comercio Minorista)","IGIC 3% (Comercio Minorista)","2.1","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic3_cmino_bc","0","IGIC 3% Soportado (Comercio Minorista)","IGIC 3% Com.Minorista","purchase","3% G INC CMino Can","3% IGIC soportado (Comercio Minorista)","3% IGIC (Comercio Minorista)","2.1","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic7_cmino_b","0","IGIC 7% Repercutido (Comercio Minorista)","IGIC 7% Com.Minorista","sale","7% G CMino Can","IGIC 7% (Comercio Minorista)","IGIC 7% (Comercio Minorista)","4.9","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic7_cmino_bc","0","IGIC 7% Soportado (Comercio Minorista)","IGIC 7% Com.Minorista","purchase","7% G INC CMino Can","7% IGIC soportado (Comercio Minorista)","7% IGIC (Comercio Minorista)","4.9","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic95_cmino_b","0","IGIC 9,5% Repercutido (Comercio Minorista)","IGIC 9,5% Com.Minorista","sale","9,5% G CMino Can","IGIC 9,5% (Comercio Minorista)","IGIC 9,5% (Comercio Minorista)","6.65","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic95_cmino_bc","0","IGIC 9,5% Soportado (Comercio Minorista)","IGIC 9,5% Com.Minorista","purchase","9,5% G INC CMino Can","9,5% IGIC soportado (Comercio Minorista)","9,5% IGIC (Comercio Minorista)","6.65","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic15_cmino_b","0","IGIC 15% Repercutido (Comercio Minorista)","IGIC 15% Com.Minorista","sale","15% G CMino Can","IGIC 15% (Comercio Minorista)","IGIC 15% (Comercio Minorista)","10.5","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic15_cmino_bc","0","IGIC 15% Soportado (Comercio Minorista)","IGIC 15% Com.Minorista","purchase","15% G INC CMino Can","15% IGIC soportado (Comercio Minorista)","15% IGIC (Comercio Minorista)","10.5","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic20_cmino_b","0","IGIC 20% Repercutido (Comercio Minorista)","IGIC 20% Com.Minorista","sale","20% G CMino Can","IGIC 20% (Comercio Minorista)","IGIC 20% (Comercio Minorista)","14.0","percent","tax_group_igic_cmino","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
